Date,Data collector,treatment,Plot ID,Column,Row,Species ID,region,Province Info,Mortality Status,Height(cm),Width1 (cm) (widest diameter),Width2 (cm) (perpendicular to W1 measurement),Canopy (avg),Area (m2),biomass_kg/m2,,,,Height (in,Width1 (in),Width2 (in),,,,,,,,,,,
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,8,SAAP,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,C,9,ISME,central ,,A,114.3,167.64,157.48,1.6256,2.074421658,4.267915118,,,,45,66,62,,,,,,,,62,114.3,167.64,157.48
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,1,EUMI,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,2,HEWH,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,3,BRCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,4,BAPI,central ,,A,101.6,124.46,86.36,1.0541,0.872234546,1.595142537,,,,40,49,34,,,,,,,,34,101.6,124.46,86.36
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,5,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,6,HEWH,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,7,ARCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,8,ACGL,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,D,9,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,1,ISME,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,2,ISME,central ,,A,99.06,106.68,114.3,1.1049,0.958331148,1.708781103,,,,39,42,45,,,,,,,,45,99.06,106.68,114.3
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,3,AGSH,south,,A,17.78,20.32,17.78,0.1905,0.028487846,0.00911725,,,,7,8,7,,,,,,,,7,17.78,20.32,17.78
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,4,STPU,central ,,A,27.94,30.48,27.94,0.2921,0.066978092,0.033684622,,,,11,12,11,,,,,,,,11,27.94,30.48,27.94
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,5,BEEM,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,6,BEEM,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,7,BOBA,central ,,A,86.36,88.9,68.58,0.7874,0.486699027,0.756563903,,,,34,35,27,,,,,,,,27,86.36,88.9,68.58
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,8,ACGL,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,E,9,LEGI,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,1,LECO,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,2,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,3,BOBA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,4,STPU,central ,,A,7.62,10.16,7.62,0.0889,0.00620402,0.000850943,,,,3,4,3,,,,,,,,3,7.62,10.16,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,5,AMFR,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,6,SODO,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,7,AGSH,south,,A,7.62,11.43,10.16,0.10795,0.009147764,0.001254707,,,,3,4.5,4,,,,,,,,4,7.62,11.43,10.16
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,8,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,F,9,LECO,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,1,LECO,central ,,A,40.64,30.48,7.62,0.1905,0.028487846,0.020839429,,,,16,12,3,,,,,,,,3,40.64,30.48,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,2,EUMI,central ,,A,22.86,20.32,12.7,0.1651,0.021397538,0.008804659,,,,9,8,5,,,,,,,,5,22.86,20.32,12.7
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,3,BOBA,central ,,A,30.48,27.94,25.4,0.2667,0.055836179,0.030633961,,,,12,11,10,,,,,,,,10,30.48,27.94,25.4
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,4,STPU,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,5,PEAR,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,6,EPCA,central ,SB,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,7,BAPI,central ,,A,58.42,88.9,86.36,0.8763,0.602802827,0.63388334,,,,23,35,34,,,,,,,,34,58.42,88.9,86.36
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,8,EUMI,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,G,9,BRCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,1,ERFA,central ,,A,20.32,13.97,10.16,0.12065,0.011426792,0.004179463,,,,8,5.5,4,,,,,,,,4,20.32,13.97,10.16
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,2,ATLE,central ,,A,54.61,30.48,22.86,0.2667,0.055836179,0.054885847,,,,21.5,12,9,,,,,,,,9,54.61,30.48,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,3,BAPI,central ,,A,93.98,96.52,91.44,0.9398,0.693330871,1.172866235,,,,37,38,36,,,,,,,,36,93.98,96.52,91.44
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,4,STPU,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,5,CAMA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,6,EPCA,central ,SD,A,46.99,78.74,33.02,0.5588,0.24512209,0.207329167,,,,18.5,31,13,,,,,,,,13,46.99,78.74,33.02
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,7,EMPTY,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,8,ERFA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,H,9,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,1,ERFA,central ,,A,60.96,22.86,63.5,0.4318,0.146364223,0.160602535,,,,24,9,25,,,,,,,,25,60.96,22.86,63.5
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,2,COFI,central ,,A,38.1,81.28,76.2,0.7874,0.486699027,0.333778192,,,,15,32,30,,,,,,,,30,38.1,81.28,76.2
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,3,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,4,BEEM,south,,A,15.24,12.7,5.08,0.0889,0.00620402,0.001701887,,,,6,5,2,,,,,,,,2,15.24,12.7,5.08
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,5,BEEM,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,6,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,7,STPU,central ,SD,A,35.56,41.91,48.26,0.45085,0.159563592,0.102133464,,,,14,16.5,19,,,,,,,,19,35.56,41.91,48.26
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,8,STPU,central ,,A,5.08,6.35,10.16,0.08255,0.005349384,0.000489148,,,,2,2.5,4,,,,,,,,4,5.08,6.35,10.16
2026-06-29,"B. De Lira, S. Cusser",tarp,A,I,9,STPU,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,1,LECO,central ,,A,40.64,27.94,22.86,0.254,0.05064506,0.037047874,,,,16,11,9,,,,,,,,9,40.64,27.94,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,2,LECO,central ,,A,19.05,10.16,7.62,0.0889,0.00620402,0.002127358,,,,7.5,4,3,,,,,,,,3,19.05,10.16,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,3,BRCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,4,EUMI,south,,A,43.18,30.48,22.86,0.2667,0.055836179,0.043398111,,,,17,12,9,,,,,,,,9,43.18,30.48,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,5,HEWH,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,6,AGSH,south,,A,26.67,27.94,20.32,0.2413,0.045707167,0.021942182,,,,10.5,11,8,,,,,,,,8,26.67,27.94,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,7,STPU,central ,SB,A,25.4,45.72,43.18,0.4445,0.155100496,0.070911947,,,,10,18,17,,,,,,,,17,25.4,45.72,43.18
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,8,SPAM,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,J,9,BAPI,central ,,A,152.4,127,134.62,1.3081,1.343233604,3.684758422,,,,60,50,53,,,,,,,,53,152.4,127,134.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,1,SAAP,central ,,A,12.7,22.86,12.7,0.1778,0.024816079,0.005672956,,,,5,9,5,,,,,,,,5,12.7,22.86,12.7
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,2,ENCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,3,ENCA,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,4,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,5,BRCA,central,,A,55.88,60.96,30.48,0.4572,0.164089994,0.16504828,,,,22,24,12,,,,,,,,12,55.88,60.96,30.48
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,6,HEWH,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,7,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,8,SPAM,south,,A,20.32,25.4,17.78,0.2159,0.036591056,0.013383545,,,,8,10,7,,,,,,,,7,20.32,25.4,17.78
2026-06-29,"B. De Lira, S. Cusser",tarp,A,K,9,LYCA,south,,A,35.56,40.64,30.48,0.3556,0.099264318,0.063537104,,,,14,16,12,,,,,,,,12,35.56,40.64,30.48
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,1,SAME,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,2,BAPI,central ,,A,50.8,40.64,35.56,0.381,0.113951385,0.104197146,,,,20,16,14,,,,,,,,14,50.8,40.64,35.56
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,3,AGSH,south,,A,22.86,22.86,19.05,0.20955,0.034470294,0.014183837,,,,9,9,7.5,,,,,,,,7.5,22.86,22.86,19.05
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,4,LYCA,south,,A,15.24,10.16,7.62,0.0889,0.00620402,0.001701887,,,,6,4,3,,,,,,,,3,15.24,10.16,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,5,SODO,central ,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,6,BAPI,central,,A,91.44,106.68,58.42,0.8255,0.534938446,0.880465887,,,,36,42,23,,,,,,,,23,91.44,106.68,58.42
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,7,PEAR,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,8,BOBA,central,,A,101.6,101.6,91.44,0.9652,0.731314666,1.337428262,,,,40,40,36,,,,,,,,36,101.6,101.6,91.44
2026-06-29,"B. De Lira, S. Cusser",tarp,A,L,9,EUMI,south,,A,34.29,20.32,15.24,0.1778,0.024816079,0.015316981,,,,13.5,8,6,,,,,,,,6,34.29,20.32,15.24
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,1,ACGL,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,2,ACGL,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,3,ISME,central,,A,121.92,157.48,132.08,1.4478,1.645457999,3.611056307,,,,48,62,52,,,,,,,,52,121.92,157.48,132.08
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,4,EUMI,south,,A,40.64,25.4,20.32,0.2286,0.041022499,0.030008778,,,,16,10,8,,,,,,,,8,40.64,25.4,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,5,BOBA,central,,A,96.52,99.06,93.98,0.9652,0.731314666,1.270556849,,,,38,39,37,,,,,,,,37,96.52,99.06,93.98
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,6,STPU,central,,A,68.58,63.5,83.82,0.7366,0.425924955,0.525778801,,,,27,25,33,,,,,,,,33,68.58,63.5,83.82
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,7,PEAR,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,8,ARCA,central,,A,60.96,45.72,22.86,0.3429,0.092300622,0.101279626,,,,24,18,9,,,,,,,,9,60.96,45.72,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,M,9,BRCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,1,EPCA,central,SB,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,2,ACGL,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,3,ISME,central,,A,86.36,152.4,167.64,1.6002,2.010102431,3.124664028,,,,34,60,66,,,,,,,,66,86.36,152.4,167.64
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,4,AMFR,south,,A,78.74,68.58,22.86,0.4572,0.164089994,0.232568031,,,,31,27,9,,,,,,,,9,78.74,68.58,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,5,STPU,central,,A,12.7,17.78,20.32,0.1905,0.028487846,0.006512322,,,,5,7,8,,,,,,,,8,12.7,17.78,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,6,STPU,central,,A,35.56,15.24,20.32,0.1778,0.024816079,0.015884276,,,,14,6,8,,,,,,,,8,35.56,15.24,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,7,STPU,central,,A,15.24,17.78,20.32,0.1905,0.028487846,0.007814786,,,,6,7,8,,,,,,,,8,15.24,17.78,20.32
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,8,LECO,central,,A,60.96,20.32,15.24,0.1778,0.024816079,0.027230188,,,,24,8,6,,,,,,,,6,60.96,20.32,15.24
2026-06-29,"B. De Lira, S. Cusser",tarp,A,N,9,LECO,central,,A,81.28,66.04,58.42,0.6223,0.303996973,0.444759731,,,,32,26,23,,,,,,,,23,81.28,66.04,58.42
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,1,EPCA,central,SD,A,73.66,81.28,78.74,0.8001,0.502525608,0.666288653,,,,29,32,31,,,,,,,,31,73.66,81.28,78.74
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,2,STPU,,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,3,STPU,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,4,ERFA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,5,ERFA,central,,A,78.74,134.62,76.2,1.0541,0.872234546,1.236235467,,,,31,53,30,,,,,,,,30,78.74,134.62,76.2
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,6,STPU,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,7,ENCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,8,ENCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,O,9,SODO,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,1,STPU,central,SB,A,83.82,86.36,66.04,0.762,0.45580554,0.687701167,,,,33,34,26,,,,,,,,26,83.82,86.36,66.04
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,2,STPU,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,3,STPU,central ,,A,73.66,50.8,48.26,0.4953,0.192577841,0.255335107,,,,29,20,19,,,,,,,,19,73.66,50.8,48.26
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,4,BEEM,south,,A,11.43,3.81,5.08,0.04445,0.001551005,0.000319104,,,,4.5,1.5,2,,,,,,,,2,11.43,3.81,5.08
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,5,BEEM,south,,A,21.59,8.89,7.62,0.08255,0.005349384,0.002078878,,,,8.5,3.5,3,,,,,,,,3,21.59,8.89,7.62
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,6,COFI,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,7,HEWH,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,8,BRCA,central,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,P,9,SAAP,central,,A,50.8,45.72,25.4,0.3556,0.099264318,0.090767292,,,,20,18,10,,,,,,,,10,50.8,45.72,25.4
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,1,STPU,central,SD,A,53.34,58.42,53.34,0.5588,0.24512209,0.235346621,,,,21,23,21,,,,,,,,21,53.34,58.42,53.34
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,2,STPU,central,IRV,A,78.74,58.42,22.86,0.4064,0.129651354,0.183757456,,,,31,23,9,,,,,,,,9,78.74,58.42,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,3,AGSH,south,,A,25.4,17.78,22.86,0.2032,0.032412838,0.01481915,,,,10,7,9,,,,,,,,9,25.4,17.78,22.86
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,4,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,5,EUMI,south,,A,38.1,20.32,12.7,0.1651,0.021397538,0.014674431,,,,15,8,5,,,,,,,,5,38.1,20.32,12.7
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,6,COFI,central,,A,50.8,60.96,17.78,0.3937,0.121674757,0.111259397,,,,20,24,7,,,,,,,,7,50.8,60.96,17.78
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,7,AGSH,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,8,LYCA,south,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,Q,9,SAAP,central,,A,50.8,45.72,25.4,0.3556,0.099264318,0.090767292,,,,20,18,10,,,,,,,,10,50.8,45.72,25.4
2026-06-29,"B. De Lira, S. Cusser",tarp,A,R,1,EMPTY,,,D,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0
2026-06-29,"B. De Lira, S. Cusser",tarp,A,R,2,LEGI,central,,A,48.26,38.1,33.02,0.3556,0.099264318,0.086228927,,,,19,15,13,,,,,,,,13,48.26,38.1,33.02
2026-06-29,"B. De Lira, S. Cusser",tarp,A,R,3,ARCA,central,,A,76.2,134.62,116.84,1.2573,1.240930583,1.702060387,,,,30,53,46,,,,,,,,46,76.2,134.62,116.84
